99. lambda=15793249.704, deleting coordinate 480, |B|=5...
100. lambda=15765796.374, adding coordinate 536, |B|=6...
101. lambda=15764164.312, deleting coordinate 535, |B|=5...
102. lambda=15760358.670, adding coordinate 478, |B|=6...
103. lambda=15753147.427, deleting coordinate 479, |B|=5...
104. lambda=15726950.268, adding coordinate 537, |B|=6...
105. lambda=15725649.563, deleting coordinate 536, |B|=5...
106. lambda=15718706.201, adding coordinate 477, |B|=6...
107. lambda=15711436.254, deleting coordinate 478, |B|=5...
108. lambda=15687386.045, adding coordinate 538, |B|=6...
109. lambda=15686006.306, deleting coordinate 537, |B|=5...
110. lambda=15675374.563, adding coordinate 476, |B|=6...
111. lambda=15667939.068, deleting coordinate 477, |B|=5...
112. lambda=15647197.171, adding coordinate 539, |B|=6...
113. lambda=15645436.436, deleting coordinate 538, |B|=5...
114. lambda=15630225.241, adding coordinate 475, |B|=6...
115. lambda=15622301.796, deleting coordinate 476, |B|=5...
116. lambda=15605910.719, adding coordinate 540, |B|=6...
117. lambda=15604149.392, deleting coordinate 539, |B|=5...
118. lambda=15583441.194, adding coordinate 474, |B|=6...
119. lambda=15575261.085, deleting coordinate 475, |B|=5...
120. lambda=15563533.531, adding coordinate 541, |B|=6...
121. lambda=15561702.801, deleting coordinate 540, |B|=5...
122. lambda=15535198.939, adding coordinate 473, |B|=6...
123. lambda=15527033.545, deleting coordinate 474, |B|=5...
124. lambda=15520263.477, adding coordinate 542, |B|=6...
125. lambda=15518210.166, deleting coordinate 541, |B|=5...
126. lambda=15485627.686, adding coordinate 472, |B|=6...
127. lambda=15477350.538, deleting coordinate 473, |B|=5...
128. lambda=15475351.663, adding coordinate 543, |B|=6...
129. lambda=15472900.406, deleting coordinate 542, |B|=5...
130. lambda=15452017.110, adding coordinate 742, |B|=6...
131. lambda=15434547.065, adding coordinate 544, |B|=7...
132. lambda=15432909.849, deleting coordinate 543, |B|=6...
133. lambda=15431874.914, adding coordinate 471, |B|=7...
134. lambda=15424079.524, deleting coordinate 472, |B|=6...
135. lambda=15380949.109, adding coordinate 545, |B|=7...
136. lambda=15376487.454, deleting coordinate 544, |B|=6...
137. lambda=15374854.320, adding coordinate 470, |B|=7...
138. lambda=15367041.334, deleting coordinate 471, |B|=6...
139. lambda=15340734.433, deleting coordinate 741, |B|=5...
140. lambda=15322376.532, adding coordinate 469, |B|=6...
141. lambda=15313040.494, deleting coordinate 470, |B|=5...
142. lambda=15270172.909, adding coordinate 468, |B|=6...
143. lambda=15261294.213, deleting coordinate 469, |B|=5...
144. lambda=15216780.283, adding coordinate 467, |B|=6...
145. lambda=15207154.508, deleting coordinate 468, |B|=5...
146. lambda=15205093.589, adding coordinate 546, |B|=6...
147. lambda=15198637.329, deleting coordinate 545, |B|=5...
148. lambda=15158929.804, adding coordinate 466, |B|=6...
149. lambda=15149338.824, deleting coordinate 467, |B|=5...
150. lambda=15126798.376, adding coordinate 269, |B|=6...
151. lambda=15096434.578, deleting coordinate 270, |B|=5...
152. lambda=15086490.486, adding coordinate 465, |B|=6...
153. lambda=15076095.332, deleting coordinate 466, |B|=5...
154. lambda=15030715.706, adding coordinate 464, |B|=6...
155. lambda=15021111.266, deleting coordinate 465, |B|=5...
156. lambda=14984804.017, adding coordinate 547, |B|=6...
157. lambda=14977650.713, deleting coordinate 546, |B|=5...
158. lambda=14968152.882, adding coordinate 463, |B|=6...
159. lambda=14958131.649, deleting coordinate 464, |B|=5...
160. lambda=14920550.607, adding coordinate 548, |B|=6...
161. lambda=14917903.127, deleting coordinate 547, |B|=5...
162. lambda=14908307.775, adding coordinate 462, |B|=6...
163. lambda=14898269.050, deleting coordinate 463, |B|=5...
164. lambda=14859770.635, adding coordinate 549, |B|=6...
165. lambda=14857180.438, deleting coordinate 548, |B|=5...
166. lambda=14847213.394, adding coordinate 461, |B|=6...
167. lambda=14836471.035, deleting coordinate 462, |B|=5...
168. lambda=14798071.832, adding coordinate 550, |B|=6...
169. lambda=14794664.357, deleting coordinate 549, |B|=5...
170. lambda=14784706.742, adding coordinate 460, |B|=6...
171. lambda=14773881.133, deleting coordinate 461, |B|=5...
172. lambda=14734996.313, adding coordinate 551, |B|=6...
173. lambda=14732370.405, deleting coordinate 550, |B|=5...
174. lambda=14720319.936, adding coordinate 459, |B|=6...
175. lambda=14709775.037, deleting coordinate 460, |B|=5...
176. lambda=14670378.720, adding coordinate 552, |B|=6...
177. lambda=14667521.749, deleting coordinate 551, |B|=5...
178. lambda=14654080.070, adding coordinate 458, |B|=6...
179. lambda=14642979.377, deleting coordinate 459, |B|=5...
180. lambda=14604379.279, adding coordinate 553, |B|=6...
181. lambda=14601688.290, deleting coordinate 552, |B|=5...
182. lambda=14585931.505, adding coordinate 457, |B|=6...
183. lambda=14574628.559, deleting coordinate 458, |B|=5...
184. lambda=14537156.409, adding coordinate 554, |B|=6...
185. lambda=14534328.882, deleting coordinate 553, |B|=5...
186. lambda=14515659.185, adding coordinate 456, |B|=6...
187. lambda=14504680.534, deleting coordinate 457, |B|=5...
188. lambda=14468643.124, adding coordinate 555, |B|=6...
189. lambda=14465905.343, deleting coordinate 554, |B|=5...
190. lambda=14443241.661, adding coordinate 455, |B|=6...
191. lambda=14431673.368, deleting coordinate 456, |B|=5...
192. lambda=14398417.918, adding coordinate 556, |B|=6...
193. lambda=14395399.293, deleting coordinate 555, |B|=5...
194. lambda=14368520.537, adding coordinate 454, |B|=6...
195. lambda=14356891.625, deleting coordinate 455, |B|=5...
196. lambda=14326437.477, adding coordinate 557, |B|=6...
197. lambda=14322435.611, deleting coordinate 556, |B|=5...
198. lambda=14291553.126, adding coordinate 453, |B|=6...
199. lambda=14280003.737, deleting coordinate 454, |B|=5...
200. lambda=14253036.944, adding coordinate 558, |B|=6...
201. lambda=14249787.326, deleting coordinate 557, |B|=5...
202. lambda=14218193.301, adding coordinate 268, |B|=6...
203. lambda=14204796.485, adding coordinate 452, |B|=7...
204. lambda=14188872.572, deleting coordinate 453, |B|=6...
205. lambda=14175430.005, deleting coordinate 269, |B|=5...
206. lambda=14162839.919, adding coordinate 559, |B|=6...
207. lambda=14159125.775, deleting coordinate 558, |B|=5...
208. lambda=14111859.412, adding coordinate 451, |B|=6...
209. lambda=14099583.000, deleting coordinate 452, |B|=5...
210. lambda=14087068.911, adding coordinate 560, |B|=6...
211. lambda=14083394.475, deleting coordinate 559, |B|=5...
212. lambda=14028996.106, adding coordinate 450, |B|=6...
213. lambda=14016932.816, deleting coordinate 451, |B|=5...
214. lambda=14010185.569, adding coordinate 561, |B|=6...
215. lambda=14006427.811, deleting coordinate 560, |B|=5...
216. lambda=13944762.340, adding coordinate 562, |B|=6...
217. lambda=13943400.608, adding coordinate 449, |B|=7...
218. lambda=13930774.377, deleting coordinate 450, |B|=6...
219. lambda=13928479.712, deleting coordinate 561, |B|=5...
220. lambda=13866035.593, adding coordinate 563, |B|=6...
221. lambda=13862764.125, deleting coordinate 562, |B|=5...
222. lambda=13855811.464, adding coordinate 448, |B|=6...
223. lambda=13842884.607, deleting coordinate 449, |B|=5...
224. lambda=13786211.524, adding coordinate 564, |B|=6...
225. lambda=13782305.872, deleting coordinate 563, |B|=5...
226. lambda=13768402.789, adding coordinate 447, |B|=6...
227. lambda=13755312.817, deleting coordinate 448, |B|=5...
228. lambda=13705334.753, adding coordinate 565, |B|=6...
229. lambda=13701824.198, deleting coordinate 564, |B|=5...
230. lambda=13679902.298, adding coordinate 446, |B|=6...
231. lambda=13666829.172, deleting coordinate 447, |B|=5...
232. lambda=13623372.748, adding coordinate 566, |B|=6...
233. lambda=13619243.556, deleting coordinate 565, |B|=5...
234. lambda=13590265.497, adding coordinate 445, |B|=6...
235. lambda=13576797.910, deleting coordinate 446, |B|=5...
236. lambda=13539909.530, adding coordinate 567, |B|=6...
237. lambda=13536297.736, deleting coordinate 566, |B|=5...
238. lambda=13499764.257, adding coordinate 444, |B|=6...
239. lambda=13486440.910, deleting coordinate 445, |B|=5...
240. lambda=13455048.375, adding coordinate 568, |B|=6...
241. lambda=13451101.073, deleting coordinate 567, |B|=5...
242. lambda=13408503.529, adding coordinate 443, |B|=6...
243. lambda=13395034.177, deleting coordinate 444, |B|=5...
244. lambda=13368831.015, adding coordinate 569, |B|=6...
245. lambda=13365071.061, deleting coordinate 568, |B|=5...
246. lambda=13316519.946, adding coordinate 442, |B|=6...
247. lambda=13302473.626, deleting coordinate 443, |B|=5...
248. lambda=13288993.133, adding coordinate 267, |B|=6...
249. lambda=13275896.741, adding coordinate 570, |B|=7...
250. lambda=13270125.317, deleting coordinate 569, |B|=6...
251. lambda=13249588.850, deleting coordinate 268, |B|=5...
252. lambda=13203333.382, adding coordinate 441, |B|=6...
253. lambda=13189429.749, deleting coordinate 442, |B|=5...
254. lambda=13177191.229, adding coordinate 571, |B|=6...
255. lambda=13172655.061, deleting coordinate 570, |B|=5...
256. lambda=13110663.116, adding coordinate 440, |B|=6...
257. lambda=13096456.697, deleting coordinate 441, |B|=5...
258. lambda=13088066.080, adding coordinate 572, |B|=6...
259. lambda=13084109.821, deleting coordinate 571, |B|=5...
260. lambda=13017923.579, adding coordinate 439, |B|=6...
261. lambda=13003619.884, deleting coordinate 440, |B|=5...
262. lambda=12998164.222, adding coordinate 573, |B|=6...
263. lambda=12993549.469, deleting coordinate 572, |B|=5...
264. lambda=12925108.267, adding coordinate 438, |B|=6...
265. lambda=12909963.138, deleting coordinate 439, |B|=5...
266. lambda=12907542.879, adding coordinate 574, |B|=6...
267. lambda=12903101.304, deleting coordinate 573, |B|=5...
268. lambda=12832079.933, adding coordinate 437, |B|=6...
269. lambda=12817379.914, deleting coordinate 438, |B|=5...
270. lambda=12816407.045, adding coordinate 575, |B|=6...
271. lambda=12812264.647, deleting coordinate 574, |B|=5...
272. lambda=12738972.221, adding coordinate 576, |B|=6...
273. lambda=12738338.330, adding coordinate 436, |B|=7...
274. lambda=12723030.757, deleting coordinate 437, |B|=6...
275. lambda=12720746.422, deleting coordinate 575, |B|=5...
276. lambda=12646947.430, adding coordinate 577, |B|=6...
277. lambda=12642653.377, deleting coordinate 576, |B|=5...
278. lambda=12642207.474, adding coordinate 435, |B|=6...
279. lambda=12627180.527, deleting coordinate 436, |B|=5...
280. lambda=12554417.193, adding coordinate 578, |B|=6...
281. lambda=12550346.711, deleting coordinate 577, |B|=5...
282. lambda=12547654.921, adding coordinate 434, |B|=6...
283. lambda=12532832.173, deleting coordinate 435, |B|=5...
284. lambda=12461577.374, adding coordinate 579, |B|=6...
285. lambda=12456667.834, deleting coordinate 578, |B|=5...
286. lambda=12452517.032, adding coordinate 433, |B|=6...
287. lambda=12437673.274, deleting coordinate 434, |B|=5...
