102. lambda=29091.530, deleting coordinate 447, |B|=2...
103. lambda=29076.262, adding coordinate 442, |B|=3...
104. lambda=28700.970, deleting coordinate 445, |B|=2...
105. lambda=28694.741, adding coordinate 440, |B|=3...
106. lambda=28442.159, deleting coordinate 442, |B|=2...
107. lambda=28429.951, adding coordinate 439, |B|=3...
108. lambda=28302.439, deleting coordinate 440, |B|=2...
109. lambda=28198.307, adding coordinate 438, |B|=3...
110. lambda=28070.214, deleting coordinate 439, |B|=2...
111. lambda=28035.001, adding coordinate 432, |B|=3...
112. lambda=27763.927, adding coordinate 431, |B|=4...
113. lambda=27723.116, deleting coordinate 432, |B|=3...
114. lambda=27465.329, adding coordinate 429, |B|=4...
115. lambda=27332.773, deleting coordinate 431, |B|=3...
116. lambda=26888.954, deleting coordinate 438, |B|=2...
117. lambda=26885.527, adding coordinate 428, |B|=3...
118. lambda=26796.724, adding coordinate 423, |B|=4...
119. lambda=26681.716, deleting coordinate 428, |B|=3...
120. lambda=26622.854, adding coordinate 438, |B|=4...
121. lambda=26282.079, deleting coordinate 429, |B|=3...
122. lambda=26230.435, adding coordinate 439, |B|=4...
123. lambda=26217.280, deleting coordinate 438, |B|=3...
124. lambda=26095.650, deleting coordinate 439, |B|=2...
125. lambda=26081.491, adding coordinate 422, |B|=3...
126. lambda=25948.926, deleting coordinate 423, |B|=2...
127. lambda=25719.534, adding coordinate 421, |B|=3...
128. lambda=25585.045, deleting coordinate 422, |B|=2...
129. lambda=25512.110, adding coordinate 419, |B|=3...
130. lambda=25350.508, adding coordinate 418, |B|=4...
131. lambda=25278.383, deleting coordinate 419, |B|=3...
132. lambda=25108.492, deleting coordinate 421, |B|=2...
133. lambda=25032.671, adding coordinate 417, |B|=3...
134. lambda=24896.572, deleting coordinate 418, |B|=2...
135. lambda=24715.857, adding coordinate 414, |B|=3...
136. lambda=24581.578, adding coordinate 142, |B|=4...
137. lambda=24307.660, deleting coordinate 143, |B|=3...
138. lambda=24264.953, deleting coordinate 417, |B|=2...
139. lambda=24257.304, adding coordinate 413, |B|=3...
140. lambda=24118.835, deleting coordinate 414, |B|=2...
141. lambda=24002.117, adding coordinate 412, |B|=3...
142. lambda=23862.702, deleting coordinate 413, |B|=2...
143. lambda=23861.816, adding coordinate 410, |B|=3...
144. lambda=23735.264, adding coordinate 413, |B|=4...
145. lambda=23652.876, deleting coordinate 412, |B|=3...
146. lambda=23582.862, deleting coordinate 413, |B|=2...
147. lambda=23482.598, adding coordinate 409, |B|=3...
148. lambda=23341.447, deleting coordinate 410, |B|=2...
149. lambda=23199.924, adding coordinate 408, |B|=3...
150. lambda=23058.019, deleting coordinate 409, |B|=2...
151. lambda=22989.771, adding coordinate 407, |B|=3...
152. lambda=22846.858, deleting coordinate 408, |B|=2...
153. lambda=22806.550, adding coordinate 406, |B|=3...
154. lambda=22663.469, deleting coordinate 407, |B|=2...
155. lambda=22655.699, adding coordinate 405, |B|=3...
156. lambda=22512.301, deleting coordinate 406, |B|=2...
157. lambda=22401.693, adding coordinate 403, |B|=3...
158. lambda=22113.919, deleting coordinate 405, |B|=2...
159. lambda=22100.500, adding coordinate 402, |B|=3...
160. lambda=21955.226, deleting coordinate 403, |B|=2...
161. lambda=21865.582, adding coordinate 401, |B|=3...
162. lambda=21719.865, deleting coordinate 402, |B|=2...
163. lambda=21675.739, adding coordinate 400, |B|=3...
164. lambda=21529.145, deleting coordinate 401, |B|=2...
165. lambda=21522.912, adding coordinate 399, |B|=3...
166. lambda=21376.357, deleting coordinate 400, |B|=2...
167. lambda=21372.408, adding coordinate 395, |B|=3...
